x	y	z
-13.1	-67.7	69.1
-35.5	-60.0	66.0
-48.3	-55.1	58.2
-60.0	-51.8	48.0
-16.9	-51.6	78.0
-34.8	-49.3	71.7
-67.5	-47.1	31.0
-46.1	-43.7	61.1
-59.8	-39.6	53.3
-14.2	-39.1	81.1
-28.3	-31.2	76.0
-42.3	-30.7	70.2
-67.6	-30.1	41.2
-50.5	-24.4	64.4
-14.6	-22.7	80.2
-60.9	-18.7	50.9
-31.6	-16.9	75.2
-5.1	-12.6	77.3
-65.6	-10.8	37.8
-41.8	-10.2	67.0
-55.1	-4.01	53.2
-22.7	1.2	72.0
-5.8	2.8	74.8
-49.2	3.7	54.7
-34.5	3.9	66.5
-61.55	6.2	35.9
-63.6	8.3	25.7
-40.4	11.8	60.7
-48.7	14.5	50.5
-21.8	16.0	68.9
-58.2	18.2	27.3
-7.0	18.4	70.3
-36.3	19.9	59.6
-48.1	24.6	44.0
-56.8	28.52	20.8
-7.3	33.8	61.7
-22.2	35.0	57.2
-36.8	35.4	47.0
-46.8	35.6	36.0
