,name,rereference,used,target,type,status,new_name
0,LFP_RIGHT_0,LFP_RIGHT_2,1,0,seeg,good,LFP_RIGHT_0-LFP_RIGHT_2
1,LFP_RIGHT_1,LFP_RIGHT_0,1,0,seeg,good,LFP_RIGHT_1-LFP_RIGHT_0
2,LFP_RIGHT_2,LFP_RIGHT_1,1,0,seeg,good,LFP_RIGHT_2-LFP_RIGHT_1
3,ECOG_RIGHT_0,average,1,0,ecog,good,ECOG_RIGHT_0-avgref
4,ECOG_RIGHT_1,average,1,0,ecog,good,ECOG_RIGHT_1-avgref
5,ECOG_RIGHT_2,average,1,0,ecog,good,ECOG_RIGHT_2-avgref
6,ECOG_RIGHT_3,average,1,0,ecog,good,ECOG_RIGHT_3-avgref
7,ECOG_RIGHT_4,average,1,0,ecog,good,ECOG_RIGHT_4-avgref
8,ECOG_RIGHT_5,average,1,0,ecog,good,ECOG_RIGHT_5-avgref
9,MOV_RIGHT,None,0,0,misc,good,MOV_RIGHT
10,MOV_LEFT,None,0,0,misc,good,MOV_LEFT
11,MOV_RIGHT_CLEAN,None,0,1,misc,good,MOV_RIGHT_CLEAN
12,MOV_LEFT_CLEAN,None,0,1,misc,good,MOV_LEFT_CLEAN
